Idade,Genero,Pergunta1,Pergunta2,Pergunta3,Pergunta4,Data/Hora
22,F,sim,sim,sim,sim,08/06/2023 15:31
18,F,sim,sim,sim,sim,08/06/2023 15:32
35,F,sim,sim,sim,sim,08/06/2023 15:32
17,M,sim,não,não,não,08/06/2023 15:32
40,F,sim,sim,sim,sim,08/06/2023 15:32
23,F,sim,não,sim,sim,08/06/2023 15:33
57,M,sim,não,sim,sim,08/06/2023 15:33
30,M,sim,sim,sim,sim,08/06/2023 15:33
25,Inter,sim,sim,sim,sim,08/06/2023 15:34
19,F,sim,sim,não,não,08/06/2023 15:34
48,M,sim,sim,não,sim,08/06/2023 15:35
32,F,sim,sim,sim,sim,08/06/2023 15:35
26,M,sim,sim,não,sim,08/06/2023 15:36
32,F,sim,sim,sim,sim,08/06/2023 15:36
23,F,sim,sim,sim,sim,08/06/2023 15:37
23,M,sim,sim,sim,sim,08/06/2023 15:38
42,M,sim,sim,sim,sim,08/06/2023 15:38
32,M,sim,sim,sim,sim,08/06/2023 15:38
30,M,sim,sim,sim,sim,08/06/2023 15:39
